1127:24-1127:39 | StringLiteral | Survived | "\"\""
1143:7-1143:61 | LogicalOperator | Survived | "dragOptions.borderWidth || dragOptions.borderWidth > 0"
1143:34-1143:61 | ConditionalExpression | Survived | "true"
1143:34-1143:61 | EqualityOperator | Survived | "dragOptions.borderWidth >= 0"
1151:44-1159:2 | ObjectLiteral | Survived | "{}"
1152:8-1152:72 | ObjectLiteral | Survived | "{}"
1152:19-1152:24 | BooleanLiteral | Survived | "true"
1152:32-1152:36 | StringLiteral | Survived | "\"\""
1153:9-1158:4 | ObjectLiteral | Survived | "{}"
1154:12-1154:61 | ObjectLiteral | Survived | "{}"
1154:23-1154:28 | BooleanLiteral | Survived | "true"
1155:11-1155:80 | ObjectLiteral | Survived | "{}"
1155:22-1155:27 | BooleanLiteral | Survived | "true"
1155:39-1155:59 | StringLiteral | Survived | "\"\""
1156:12-1156:30 | ObjectLiteral | Survived | "{}"
1156:23-1156:28 | BooleanLiteral | Survived | "true"
1157:11-1157:15 | StringLiteral | Survived | "\"\""
1193:35-1193:59 | ConditionalExpression | Survived | "false"
1193:50-1193:59 | StringLiteral | Survived | "\"\""
1208:77-1210:4 | BlockStatement | Survived | "{}"
1209:28-1209:48 | StringLiteral | Survived | "\"\""
